TAZ,origins_eet,destinations_eet,origins_mc,destinations_mc
13.0,6078,1729,6120,1761
14.0,2746,3397,2751,3255
15.0,6187,2864,6163,2805
16.0,123,1004,127,997
17.0,16053,12557,15941,12457
18.0,859,633,904,620
19.0,232,380,245,333
20.0,824,237,806,227
21.0,523,700,472,668
22.0,322,496,329,554
23.0,63,322,58,326
24.0,171,299,179,327
25.0,455,439,452,392
26.0,1150,136,1146,140
27.0,498,285,489,314
28.0,362,1315,361,1244
29.0,517,953,548,990
30.0,335,342,313,345
31.0,488,373,444,352
32.0,471,236,431,226
33.0,205,1056,201,1128
34.0,1,3,2,2
35.0,413,484,390,486
36.0,372,691,412,737
37.0,1766,298,1810,270
38.0,146,1743,146,1671
39.0,443,332,395,313
40.0,642,258,664,306
41.0,563,212,528,232
42.0,22439,15368,22238,15422
43.0,591,188,642,220
44.0,703,468,646,478
45.0,2507,1547,2546,1512
46.0,399,109,378,125
47.0,934,146,926,187
48.0,1887,2898,1893,2909
49.0,521,343,510,357
50.0,351,685,357,688
51.0,143,146,143,143
52.0,468,1459,522,1393
53.0,381,654,361,623
54.0,1328,333,1372,344
55.0,2077,416,2049,445
56.0,103,1594,79,1573
57.0,202,213,220,268
58.0,478,142,439,135
59.0,1212,793,1197,813
60.0,231,91,219,77
61.0,659,284,647,261
62.0,1016,283,1061,270
63.0,566,829,554,800
64.0,1003,865,1046,978
65.0,732,206,731,181
66.0,445,2354,444,2318
67.0,1640,438,1607,461
68.0,438,127,441,97
69.0,520,111,478,114
70.0,661,1105,685,1017
71.0,822,89,841,102
72.0,601,96,615,100
73.0,1457,800,1488,816
74.0,715,166,755,161
75.0,96,1771,108,1768
76.0,1631,1412,1593,1287
77.0,445,223,439,204
78.0,876,2050,864,2165
79.0,708,565,760,552
80.0,737,1503,711,1560
81.0,503,2171,422,2006
82.0,382,661,424,706
83.0,212,163,216,202
84.0,2332,546,2327,473
85.0,261,684,305,712
86.0,453,846,461,820
87.0,97,127,108,113
88.0,304,1394,294,1377
89.0,95,548,118,513
90.0,1212,274,1267,285
91.0,476,1394,493,1447
92.0,249,1264,244,1282
93.0,539,74,548,102
94.0,1250,499,1149,451
95.0,1408,519,1356,481
96.0,1117,1068,1102,1111
97.0,590,1099,527,1036
98.0,946,388,881,312
100.0,225,1922,258,1849
101.0,3265,890,3336,882
102.0,629,1751,639,1744
103.0,462,972,456,971
104.0,1217,382,1270,339
105.0,908,507,976,554
107.0,146,824,150,868
108.0,335,636,316,554
109.0,836,1153,845,1247
110.0,433,631,397,609
111.0,593,4157,614,4208
112.0,763,234,759,233
113.0,190,744,189,645
114.0,1898,557,1971,614
115.0,600,99,554,104
116.0,1702,399,1696,418
117.0,1127,484,1110,439
118.0,636,182,659,183
119.0,215,733,209,721
120.0,460,265,436,245
121.0,1744,1713,1707,1727
123.0,72,332,75,376
124.0,213,793,206,721
125.0,630,185,623,211
126.0,52,6,72,8
127.0,507,130,490,137
128.0,1337,324,1296,375
129.0,1134,276,1155,297
130.0,670,365,643,359
131.0,486,112,470,116
132.0,1421,379,1413,387
133.0,569,161,563,157
134.0,387,1423,370,1414
135.0,2164,693,2202,657
136.0,39,197,24,205
137.0,1018,283,1019,238
138.0,100,582,94,531
139.0,1452,2005,1502,1958
140.0,291,3078,334,3058
141.0,913,1483,943,1473
142.0,618,225,619,218
143.0,614,163,627,172
144.0,8,63,8,66
145.0,12,162,12,188
146.0,438,8212,410,8304
147.0,665,95,691,102
148.0,1248,785,1244,811
149.0,1799,348,1800,331
150.0,2668,931,2635,1087
152.0,436,3309,441,3354
153.0,3360,3076,3499,3014
154.0,642,4261,627,4215
155.0,7037,3117,6994,3161
156.0,656,3596,613,3624
157.0,1626,519,1607,537
158.0,495,2802,528,2788
159.0,137,1053,139,1064
160.0,2807,882,2752,942
161.0,15,63,17,50
162.0,404,1903,360,1831
163.0,316,61,282,52
164.0,1985,696,2054,736
165.0,1620,415,1637,378
166.0,273,5983,263,6036
167.0,1450,393,1429,390
168.0,290,3115,291,3068
169.0,983,253,970,276
170.0,1958,603,1953,610
172.0,47,1037,46,994
173.0,107,563,126,602
174.0,1501,358,1530,374
175.0,234,980,249,1182
176.0,1502,472,1588,500
177.0,273,120,262,106
178.0,307,6801,287,6897
179.0,799,127,832,138
180.0,1816,338,1828,328
181.0,4185,4183,4086,4176
182.0,800,152,857,170
183.0,880,234,885,265
184.0,152,2977,169,3033
185.0,296,37,301,52
186.0,8,24,8,19
187.0,390,1378,401,1368
188.0,1262,326,1306,304
189.0,1221,254,1223,245
190.0,1089,925,1141,937
191.0,1758,1185,1731,1194
192.0,11,211,13,223
193.0,1269,254,1264,256
194.0,893,458,920,463
195.0,1106,1019,1155,1062
196.0,18,49,11,36
197.0,8058,3891,7912,3820
198.0,940,3627,906,3622
199.0,1795,432,1837,478
200.0,987,335,1023,318
201.0,2076,625,2002,611
202.0,1152,308,1073,290
203.0,702,299,670,310
204.0,7,35,6,34
205.0,1178,374,1153,347
206.0,621,169,611,203
207.0,59,624,62,676
208.0,1157,261,1152,249
209.0,103,1412,128,1438
210.0,1301,253,1268,229
211.0,1425,345,1429,344
212.0,1187,1382,1217,1422
213.0,1534,423,1546,407
214.0,952,238,941,226
215.0,2183,3139,2159,3101
216.0,170,576,163,563
217.0,2150,1692,2234,1709
218.0,848,528,824,485
219.0,721,390,790,420
220.0,1274,541,1317,544
221.0,795,124,835,147
222.0,3,37,1,34
223.0,182,801,180,834
224.0,402,3089,381,2902
225.0,591,342,598,324
226.0,906,196,913,194
227.0,62,244,70,257
228.0,45,311,59,288
229.0,1771,380,1798,394
230.0,1053,614,1088,690
231.0,1037,5326,1086,5181
232.0,1367,314,1338,287
233.0,2910,1004,2945,1112
234.0,1314,318,1333,308
235.0,1545,413,1580,419
236.0,119,972,116,994
237.0,2875,821,2815,814
238.0,2633,556,2595,528
239.0,888,897,939,980
240.0,1843,685,1804,623
241.0,5937,3668,5742,3772
242.0,2349,482,2372,479
243.0,1591,2211,1604,2306
244.0,19,354,32,321
245.0,808,249,792,247
246.0,195,3212,189,3124
247.0,989,270,932,251
248.0,3705,1013,3725,958
249.0,1457,304,1472,329
250.0,2314,2291,2448,2205
251.0,2095,359,2071,374
252.0,1428,1058,1430,1044
253.0,1309,648,1287,645
254.0,634,195,648,176
255.0,751,153,741,149
256.0,3425,501,3389,547
257.0,62,408,76,463
258.0,2234,1116,2233,1116
259.0,1577,280,1505,284
260.0,1611,687,1560,655
261.0,642,412,597,373
262.0,1420,1295,1433,1265
263.0,130,1556,111,1558
264.0,595,751,606,718
265.0,15,622,19,593
266.0,2840,2793,2849,2760
267.0,259,5128,247,5038
268.0,3915,1023,3929,1122
269.0,61,825,92,900
270.0,843,279,885,277
271.0,584,336,608,338
272.0,1655,495,1678,480
273.0,148,3028,148,3114
274.0,204,201,183,152
275.0,865,241,853,250
276.0,2545,884,2635,968
277.0,857,335,846,297
278.0,382,2247,416,2373
279.0,163,584,146,585
280.0,119,887,125,847
281.0,359,733,345,814
282.0,2047,472,2027,503
283.0,414,93,450,110
284.0,1236,284,1214,270
285.0,114,2057,103,2031
286.0,383,394,395,372
287.0,1129,257,1117,253
288.0,19,477,14,496
289.0,683,1177,680,1223
290.0,1885,508,1925,516
291.0,419,161,432,167
292.0,221,4571,215,4563
293.0,1705,495,1756,517
294.0,331,1486,336,1473
295.0,1034,267,1044,284
296.0,107,1005,102,1014
297.0,2432,549,2399,558
298.0,1905,426,1933,442
299.0,1394,5255,1498,5475
300.0,176,4248,170,4320
301.0,805,172,858,184
302.0,874,198,876,188
303.0,736,392,722,400
304.0,228,1069,246,1049
